2025-11-17 17:59:08,785 - 25767 - browsergym.experiments.loop - INFO - Running experiment DemoAgentArgs_on_myBenchmark.7_7 in:
  results/2025-11-17_17-59-08_DemoAgentArgs_on_myBenchmark.7_7
2025-11-17 17:59:18,992 - 25767 - httpx - INFO - HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2025-11-17 17:59:24,930 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,931 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,931 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,932 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,933 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,935 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,936 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,937 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,937 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,938 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,938 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,939 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,939 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,940 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,940 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,941 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,942 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,942 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,943 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,944 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,944 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,945 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,945 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,946 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,947 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,948 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,948 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,948 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,949 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,949 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,949 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,949 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,950 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,950 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,950 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,951 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,951 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,951 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,951 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,952 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,953 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,953 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,953 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,954 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,954 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,954 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,954 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,955 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,955 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
2025-11-17 17:59:24,955 - 25767 - asyncio - WARNING - pipe closed by peer or os.write(pipe, data) raised exception.
