title,date,author,excerpt,url
What is Microsoft Planner and who is it for,"December 26, 2025",Admin,"Microsoft has no shortage of productivity apps, but one of its most genuinely useful tools is also one of the easiest to miss. If you subscribe to Microsoft 365, you already have access to Microsoft Planner, a lightweight project organizer tucked inside 365 suite. It is straightforward for personal projects and structured enough for small […]",http://localhost:8000/?p=8
You need to know what the tilde (~) does in Excel,"December 26, 2025",Admin,"Jump Links Picture this: you need to find or count cells containing asterisks (*) or question marks (?) in Excel, but you’re getting incorrect results. This is because asterisks and question marks are wildcard characters. The solution? Excel’s essential escape character, the tilde (~). Wildcard and escape characters in Excel Wildcard characters are symbols that […]",http://localhost:8000/?p=6
"To harness crypto ingenuity, financial threat must first be neutralised","December 26, 2025",Admin,"Opinion | Future of money must be shaped by competition between private ingenuity and public purpose, not by rent seeking and speculative bubbles Future of money must be shaped by competition between private ingenuity and public purpose, not by rent seeking and speculative bubbles While […]",http://localhost:8000/?p=248
Ethereum-Solidity Quiz Q5: What is the Private Mempool?,"December 26, 2025",Admin,"We have previuosly established what a mempool is, a list of pending transactions, specific to each blockchain node, where new created transaction wait to be verified, included in a transaction block and executed on the blockchain. The transactions with lower gas prices spend more time in a mempool and can be overwritten with replacement transactions. […]",http://localhost:8000/?p=446
HOW TO CREATE AN ELASTIC BEANSTALK ON AWS,"December 26, 2025",Admin,"Leave A Comment On WHAT IS AN ELASTIC BEANSTALK: An Elastic Beanstalk application is a container for Elastic Beanstalk components, including environments where your application code runs on platforms provided and managed by Elastic Beanstalk, or in custom containers that you provide. THROUGH UNDERSTANDING OF ENVIROMENT ELASTIC BEANSTALK An Elastic Beanstalk environment is a collection of AWS resources running […]",http://localhost:8000/?p=445
Scaling the Data Layer in Distributed Systems,"December 26, 2025",Admin,"Scaling a stateless system is relatively straightforward. We can horizontally scale application servers by adding more instances behind a load balancer, and the system continues to work as expected. But what happens to the database? How can a database running on a single machine handle requests coming from N horizontally scaled application servers? Databases must […]",http://localhost:8000/?p=451
Unlock Your Gift Cards’ Full Potential with Google Wallet,"December 26, 2025",Admin,"Jump Links Gift cards are great, but when your physical wallet already has a ton of stuff in it, it can be easy to lose them in the chaos and completely forget about your free money. By adding your gift cards to Google Wallet, you’ll be much more likely to remember them. Doing this is […]",http://localhost:8000/?p=12
12 Must-Have WordPress Plugins for Developers in 2026 🚀,"December 26, 2025",Admin,"The WordPress ecosystem in 2026 looks fundamentally different than it did even two years ago. With AI integration reshaping development workflows, Phase 3 collaboration features rolling out in WordPress 6.9 and beyond, and new APIs like the Interactivity API and Abilities API changing how we build dynamic experiences, developers need tools that keep pace with […]",http://localhost:8000/?p=449
Auto-Approve WebFetch and WebSearch in Claude Code with Hooks,"December 26, 2025",Admin,"TL;DR: Claude Code’s standard permission settings for WebFetch and WebSearch have known bugs. Hooks bypass these issues and work in CLI, VSCode, and sub-agents. If you use Claude Code regularly, you’ve likely encountered the permission prompt fatigue. Every web search, every URL fetch: “Allow WebSearch?” “Allow WebFetch?” Click. Click. Click. You add these tools to […]",http://localhost:8000/?p=455
Frontend Website Development: A Practical Guide for Modern Web Projects,"December 26, 2025",Admin,"Frontend website development is no longer just about making websites look good. Today, it plays a critical role in performance, accessibility, scalability, and user experience. In this post, I want to share a practical overview of frontend development, based on real-world project experience and current industry practices. What Is Frontend Website Development? Frontend development focuses […]",http://localhost:8000/?p=450
